Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Beever, Jonathan E",ANSC 221,1422,33%,36%,22%,6%,2%,0%,2.93
"Wheeler, Matthew B",ANSC 222,1007,28%,36%,21%,10%,4%,1%,2.73
"Albert, Sarah D",ANSC 250,4014,74%,18%,5%,1%,1%,0%,3.62
"Albert, Sarah D",ANSC 305,397,80%,14%,4%,0%,1%,0%,3.72
"Albert, Sarah D",ANSC 398,168,95%,4%,0%,0%,1%,1%,3.93
"Albert, Sarah D",ANSC 499,43,86%,5%,2%,0%,7%,0%,3.64
"Albert, Sarah D",ANSC 207,24,75%,17%,8%,0%,0%,0%,3.65
"Jones-Hamlow, Katelyn A",ANSC 298,82,79%,12%,5%,2%,1%,0%,3.66
"Jones-Hamlow, Katelyn A",ANSC 498,69,84%,16%,0%,0%,0%,0%,3.84
"Fischer-Brown, Amy E",ANSC 307,337,30%,42%,20%,5%,3%,0%,2.91
"Fischer-Brown, Amy E",ANSC 370,67,60%,24%,9%,3%,4%,0%,3.28
"Fischer-Brown, Amy E",ANSC 407,147,40%,41%,14%,3%,1%,1%,3.12
"Fischer-Brown, Amy E",ANSC 398,52,85%,10%,4%,0%,2%,0%,3.74
"Fischer-Brown, Amy E",ANSC 250,480,70%,23%,4%,1%,1%,0%,3.62
"Fischer-Brown, Amy E",ANSC 299,30,83%,17%,0%,0%,0%,0%,3.83
"Fischer-Brown, Amy E",ANSC 499,32,97%,3%,0%,0%,0%,0%,3.97
"Boler, Dustin D",ANSC 309,71,68%,28%,3%,1%,0%,0%,3.62
"Ridlon, Jason M",ANSC 350,92,50%,23%,25%,2%,0%,0%,3.21
"Drackley, James K",ANSC 420,450,35%,41%,19%,4%,1%,0%,3.04
"Nowak, Romana A",ANSC 431,517,50%,33%,14%,2%,1%,0%,3.31
"Nowak, Romana A",ANSC 331,110,60%,30%,10%,0%,0%,0%,3.49
"Rodriguez-Zas, Sandra L",ANSC 445,77,92%,6%,1%,0%,0%,0%,3.87
"Rodriguez-Zas, Sandra L",ANSC 444,22,91%,9%,0%,0%,0%,0%,3.88
"Rodriguez-Zas, Sandra L",ANSC 542,116,92%,5%,2%,0%,0%,1%,3.88
"Dilger, Anna C",ANSC 452,361,73%,21%,4%,1%,0%,1%,3.69
"Dilger, Anna C",ANSC 409,49,61%,24%,4%,6%,4%,0%,3.33
"Johnson, Janeen L",ANSC 467,402,79%,17%,3%,0%,0%,0%,3.74
"Johnson, Janeen L",ANSC 101,1115,63%,27%,8%,1%,1%,0%,3.48
"Johnson, Janeen L",ANSC 561,24,83%,12%,4%,0%,0%,0%,3.78
"Johnson, Janeen L",ANSC 398,22,95%,0%,5%,0%,0%,0%,3.91
"Johnson, Janeen L",ANSC 363,69,84%,16%,0%,0%,0%,0%,3.85
"Mehta, Jayur M",ANTH 101,581,53%,34%,8%,3%,2%,0%,3.26
"Smalls, Krystal A",ANTH 103,570,55%,28%,12%,4%,1%,0%,3.29
"Orta, Andrew",ANTH 103,436,34%,43%,18%,3%,1%,0%,3.04
"Orta, Andrew",ANTH 230,217,56%,30%,9%,3%,2%,0%,3.36
"Orta, Andrew",ANTH 399,23,61%,35%,4%,0%,0%,0%,3.52
"Kramer, Elise A",ANTH 104,73,71%,25%,3%,1%,0%,0%,3.54
"Kramer, Elise A",ANTH 270,51,63%,29%,6%,0%,2%,0%,3.48
"Kramer, Elise A",ANTH 230,76,64%,29%,5%,0%,1%,0%,3.56
"Jelinek, Petra",ANTH 143,1120,78%,13%,3%,2%,3%,0%,3.58
"Jelinek, Petra",ANTH 246,247,87%,10%,2%,0%,1%,0%,3.8
"Jelinek, Petra",ANTH 240,24,58%,38%,4%,0%,0%,0%,3.64
"Silverman, Helaine I",ANTH 180,2120,54%,28%,13%,3%,1%,1%,3.3
"Silverman, Helaine I",ANTH 175,147,55%,25%,16%,1%,3%,0%,3.27
"Silverman, Helaine I",ANTH 460,26,92%,4%,0%,0%,0%,4%,3.88
"Silverman, Helaine I",ANTH 462,26,88%,8%,0%,0%,0%,4%,3.93
"Dominguez, Virginia R",ANTH 230,46,35%,57%,2%,7%,0%,0%,3.11
"Konigsberg, Lyle W",ANTH 241,22,59%,27%,9%,0%,5%,0%,3.32
"Hughes, Cris E",ANTH 246,839,65%,22%,8%,2%,2%,1%,3.49
"Hughes, Cris E",ANTH 143,118,74%,19%,4%,1%,2%,0%,3.63
"Saadah, Eman",ARAB 150,246,78%,9%,6%,1%,5%,0%,3.54
"Saadah, Eman",ARAB 405,42,62%,33%,0%,0%,5%,0%,3.44
"Saadah, Eman",ARAB 403,28,64%,29%,0%,0%,0%,7%,3.69
"Dearborn, Lynne M",ARCH 101,151,59%,28%,6%,2%,5%,1%,3.3
"Dearborn, Lynne M",ARCH 563,21,67%,29%,5%,0%,0%,0%,3.65
"Dearborn, Lynne M",ARCH 373,34,41%,38%,18%,3%,0%,0%,3.13
"Deutsch, Randall",ARCH 231,607,49%,34%,10%,4%,2%,1%,3.25
"Deutsch, Randall",ARCH 233,423,47%,34%,12%,5%,2%,0%,3.19
"Deutsch, Randall",ARCH 501,209,70%,23%,7%,0%,0%,0%,3.6
"Emmons, David J",ARCH 271,336,25%,51%,16%,5%,3%,1%,2.89
"Emmons, David J",ARCH 272,184,33%,45%,17%,3%,2%,0%,3.01
"Strand, Richard K",ARCH 341,982,24%,53%,18%,3%,2%,0%,2.92
"Boubekri, Mohamed",ARCH 342,915,29%,51%,17%,1%,1%,0%,3.05
"Mitalski, Marc A",ARCH 351,320,44%,39%,12%,2%,2%,1%,3.2
"Mitalski, Marc A",ARCH 452,30,53%,43%,3%,0%,0%,0%,3.37
"Mitalski, Marc A",ARCH 502,58,21%,52%,24%,3%,0%,0%,2.87
"Mitalski, Marc A",ARCH 556,25,60%,40%,0%,0%,0%,0%,3.63
"Lapunzina, Alejandro",ARCH 409,329,47%,49%,4%,0%,0%,0%,3.4
"Lapunzina, Alejandro",ARCH 451,57,63%,30%,7%,0%,0%,0%,3.54
"Lapunzina, Alejandro",ARCH 468,208,62%,38%,0%,0%,0%,0%,3.57
"Lapunzina, Alejandro",ARCH 476,116,49%,48%,3%,0%,0%,0%,3.45
"Lapunzina, Alejandro",ARCH 475,60,33%,53%,13%,0%,0%,0%,3.22
"Lapunzina, Alejandro",ARCH 199,270,49%,50%,0%,0%,0%,0%,3.49
"Lapunzina, Alejandro",ARCH 374,120,40%,59%,1%,0%,0%,0%,3.41
"Lapunzina, Alejandro",ARCH 373,150,54%,46%,0%,0%,0%,0%,3.48
"Senseney, John R",ARCH 410,480,33%,43%,16%,4%,4%,0%,2.98
"Senseney, John R",ARCH 411,336,50%,36%,9%,2%,1%,1%,3.33
"Senseney, John R",ARCH 210,200,43%,40%,13%,2%,2%,0%,3.19
"Grossman, Heather E",ARCH 412,158,28%,52%,16%,1%,1%,1%,3.02
"Grossman, Heather E",LA 222,36,33%,50%,11%,3%,3%,0%,3.12
"Grossman, Heather E",ARCH 210,277,32%,38%,23%,5%,3%,0%,2.89
"Grossman, Heather E",ARCH 415,24,46%,42%,4%,0%,4%,4%,3.26
"Grossman, Heather E",ARCH 403,95,39%,53%,4%,0%,4%,0%,3.15
"Grossman, Heather E",ARCH 407,21,43%,52%,5%,0%,0%,0%,3.33
"Aminmansour, Abbas",ARCH 451,963,61%,24%,9%,3%,2%,0%,3.36
"Aminmansour, Abbas",ARCH 452,489,71%,24%,3%,1%,0%,0%,3.61
"Aminmansour, Abbas",ARCH 595,288,69%,25%,5%,1%,0%,0%,3.61
"Aminmansour, Abbas",ARCH 554,43,88%,9%,2%,0%,0%,0%,3.78
"Krishnan, Sudarshan",ARCH 536,82,56%,28%,15%,0%,0%,1%,3.42
"Krishnan, Sudarshan",ARCH 502,315,56%,43%,2%,0%,0%,0%,3.5
"Krishnan, Sudarshan",ARCH 452,84,63%,21%,14%,1%,0%,0%,3.43
"Krishnan, Sudarshan",ARCH 351,115,58%,29%,9%,4%,0%,0%,3.39
"Krishnan, Sudarshan",ARCH 551,44,45%,55%,0%,0%,0%,0%,3.42
"Stallmeyer, John C",ARCH 577,479,43%,47%,9%,0%,0%,0%,3.28
"Burns, Jennifer",ART 100,992,60%,31%,6%,2%,2%,1%,3.41
"Burns, Jennifer",ARCH 416,178,63%,33%,4%,0%,0%,0%,3.54
"Burns, Jennifer",ARCH 417,139,72%,25%,1%,1%,0%,1%,3.67
"Burns, Jennifer",ARTH 127,21,86%,14%,0%,0%,0%,0%,3.89
"Sethi Suresh, Simrun",ART 105,77,88%,8%,1%,0%,1%,1%,3.75
"Sethi Suresh, Simrun",ARTD 201,22,91%,9%,0%,0%,0%,0%,3.92
"Sethi Suresh, Simrun",ARTD 270,21,86%,10%,5%,0%,0%,0%,3.78
"Goggin, Nan E",ART 310,163,74%,21%,2%,1%,1%,1%,3.61
"Goggin, Nan E",ART 105,106,81%,12%,6%,1%,0%,0%,3.71
"Mercer, Lisa",ARTD 218,45,69%,18%,4%,4%,2%,2%,3.42
"Robinson, Stacey",ARTD 222,23,87%,0%,0%,4%,0%,9%,3.83
"Robinson, Stacey",ARTD 333,24,75%,12%,4%,4%,4%,0%,3.46
"Bowman, Matthew L",ARTD 225,22,32%,41%,5%,9%,14%,0%,2.62
"Weightman, David I",ARTD 230,32,97%,3%,0%,0%,0%,0%,3.86
"Weightman, David I",ARTD 402,97,55%,37%,8%,0%,0%,0%,3.41
"Weightman, David I",BADM 366,54,91%,9%,0%,0%,0%,0%,3.79
"Weightman, David I",ARTD 426,98,64%,36%,0%,0%,0%,0%,3.62
"Weightman, David I",ARTD 448,36,58%,39%,3%,0%,0%,0%,3.5
"Weightman, David I",ARTD 226,153,55%,44%,1%,0%,0%,0%,3.52
"Weightman, David I",ENG 298,27,89%,11%,0%,0%,0%,0%,3.86
"Weightman, David I",ARTD 445,36,69%,31%,0%,0%,0%,0%,3.61
"Weightman, David I",ARTD 401,114,46%,53%,2%,0%,0%,0%,3.49
"Benson, Eric",ARTD 270,22,59%,41%,0%,0%,0%,0%,3.53
"Benson, Eric",ARTD 471,32,91%,9%,0%,0%,0%,0%,3.84
"Benson, Eric",ARTD 371,23,78%,22%,0%,0%,0%,0%,3.75
"Benson, Eric",ARTD 215,22,59%,36%,5%,0%,0%,0%,3.52
"Benson, Eric",ARTD 445,96,53%,31%,11%,3%,0%,1%,3.28
"Benson, Eric",ARTD 310,77,35%,58%,4%,3%,0%,0%,3.25
"Taylor, Gina A",ARTD 328,39,77%,13%,5%,3%,0%,3%,3.65
"Hansen, Michael J",ARTD 426,58,57%,17%,22%,3%,0%,0%,3.28
"Bergmark, Jennifer L",ARTE 475,26,92%,8%,0%,0%,0%,0%,3.92
"Kienke, Christopher",ARTF 101,543,59%,24%,9%,6%,1%,0%,3.28
"Belanger, Noelle C",ARTH 115,42,43%,48%,7%,2%,0%,0%,3.23
"Belanger, Noelle C",ARTH 112,23,30%,26%,26%,17%,0%,0%,2.68
"Belanger, Noelle C",ARTD 211,27,67%,26%,4%,4%,0%,0%,3.52
"Garth, Maria V",ARTH 115,22,41%,36%,9%,5%,9%,0%,2.97
"Rosenthal, Lisa",ARTH 231,23,52%,43%,4%,0%,0%,0%,3.35
"Rosenthal, Lisa",ARTH 360,63,37%,48%,6%,5%,3%,2%,3.09
"Rosenthal, Lisa",ARTH 235,98,36%,46%,12%,4%,2%,0%,3.02
"Rosenthal, Lisa",ARTH 436,42,48%,33%,10%,10%,0%,0%,3.14
"Weissman, Terri",ARTH 250,38,39%,50%,8%,3%,0%,0%,3.22
"Weissman, Terri",ARTH 211,186,26%,63%,8%,2%,1%,1%,3.1
"Weissman, Terri",ARTH 257,221,24%,55%,16%,3%,3%,0%,2.91
"Vazquez, Oscar",ARTH 260,191,32%,47%,16%,3%,2%,0%,3.02
"Vazquez, Oscar",ARTH 344,25,40%,36%,24%,0%,0%,0%,3.12
"Vazquez, Oscar",ARTH 299,27,26%,56%,15%,4%,0%,0%,3.09
"Winans, Amanda",ASTR 100,364,54%,26%,12%,4%,5%,0%,3.19
"Winans, Amanda",ASTR 121,136,49%,26%,13%,4%,7%,1%,3.08
"Vieira, Joaquin D",ASTR 100,292,39%,34%,22%,3%,3%,1%,2.98
"Vieira, Joaquin D",ASTR 414,54,43%,35%,17%,2%,4%,0%,3.07
"Wefel, Katrina L",ASTR 122,155,41%,37%,15%,2%,4%,1%,3.07
"Dunne, Bryan C",ASTR 150,1193,60%,28%,7%,2%,2%,0%,3.41
"Dunne, Bryan C",ASTR 210,140,75%,17%,4%,1%,2%,1%,3.59
"Dunne, Bryan C",ASTR 100,2814,52%,33%,9%,3%,2%,1%,3.28
"Dunne, Bryan C",ASTR 122,699,58%,27%,10%,2%,2%,1%,3.37
"Liu, Xin",ASTR 330,234,86%,12%,0%,0%,0%,0%,3.76
"Liu, Xin",ASTR 350,35,63%,9%,14%,14%,0%,0%,3.17
"Ricker, Paul M",ASTR 404,79,41%,32%,18%,5%,5%,0%,2.95
"Ricker, Paul M",ASTR 210,151,44%,27%,15%,6%,7%,1%,2.96
"Ricker, Paul M",ASTR 350,67,39%,28%,21%,9%,3%,0%,2.95
"Wong, Tony",ASTR 406,33,52%,30%,15%,0%,3%,0%,3.18
"Wong, Tony",ASTR 210,291,29%,41%,17%,8%,4%,1%,2.79
"Wong, Tony",ASTR 405,121,35%,35%,18%,9%,2%,1%,2.88
"Wong, Tony",ASTR 121,211,21%,40%,27%,8%,4%,1%,2.67
"Frame, Jeffrey",ATMS 100,6047,50%,39%,7%,2%,1%,0%,3.32
"Frame, Jeffrey",ATMS 303,215,33%,40%,14%,7%,5%,1%,2.9
"Frame, Jeffrey",ATMS 313,129,47%,36%,9%,6%,1%,2%,3.23
"Frame, Jeffrey",ATMS 314,87,25%,44%,23%,6%,2%,0%,2.79
"Frame, Jeffrey",ATMS 120,138,70%,23%,4%,1%,1%,0%,3.57
"Snodgrass, Eric R",ATMS 120,11421,87%,10%,2%,1%,1%,0%,3.81
"Snodgrass, Eric R",ATMS 201,699,84%,11%,2%,1%,2%,0%,3.73
"Snodgrass, Eric R",ENSU 310,194,75%,16%,3%,0%,4%,2%,3.62
"Snodgrass, Eric R",ATMS 315,28,96%,4%,0%,0%,0%,0%,3.96
"Nesbitt, Anna",ATMS 140,94,36%,37%,11%,9%,6%,1%,2.91
"Nesbitt, Anna",ATMS 421,51,73%,18%,6%,2%,2%,0%,3.55
"Nesbitt, Anna",ESE 482,86,51%,27%,12%,6%,3%,1%,3.15
"Nesbitt, Anna",ESE 200,84,55%,29%,11%,1%,4%,1%,3.34
"Nesbitt, Anna",ESE 497,48,73%,21%,2%,2%,2%,0%,3.55
"Nesbitt, Anna",ESE 311,36,56%,42%,3%,0%,0%,0%,3.51
"Jewett, Brian F",ATMS 205,23,70%,30%,0%,0%,0%,0%,3.68
"Jewett, Brian F",ATMS 502,83,72%,27%,1%,0%,0%,0%,3.65
"Wang, Zhuo",ATMS 302,152,26%,41%,20%,8%,3%,2%,2.81
"Bednar, Michael K",BADM 199,27,93%,7%,0%,0%,0%,0%,3.91
"Bednar, Michael K",BADM 509,547,62%,37%,2%,0%,0%,0%,3.55
"Bednar, Michael K",MBA 502,124,65%,33%,2%,0%,0%,0%,3.58
"Bednar, Michael K",BADM 312,106,50%,41%,8%,1%,0%,0%,3.35
"Green, Kerri A",BADM 199,35,94%,6%,0%,0%,0%,0%,3.94
"Green, Kerri A",BUS 120,36,94%,0%,3%,0%,3%,0%,3.83
"Green, Kerri A",BIOE 199,95,88%,8%,2%,0%,0%,1%,3.85
"Wright, Margaret",BADM 300,1626,59%,31%,8%,1%,0%,0%,3.45
"Wright, Margaret",BADM 403,48,46%,52%,2%,0%,0%,0%,3.44
"Wright, Margaret",LAW 653,23,39%,52%,9%,0%,0%,0%,3.23
"Shabbir, Muhammad S",BADM 310,1999,78%,17%,3%,1%,1%,0%,3.67
"Shabbir, Muhammad S",BADM 321,151,81%,14%,2%,1%,1%,1%,3.73
"Shabbir, Muhammad S",TE 466,60,80%,17%,2%,0%,2%,0%,3.72
"Shabbir, Muhammad S",BADM 320,1335,79%,16%,2%,1%,1%,0%,3.66
"Shabbir, Muhammad S",BADM 323,45,78%,16%,2%,4%,0%,0%,3.64
"Shabbir, Muhammad S",ENG 466,282,72%,22%,5%,1%,1%,0%,3.61
"Goncalo, Jack",BADM 311,139,76%,23%,0%,0%,0%,1%,3.75
"Goncalo, Jack",MBA 501,51,88%,12%,0%,0%,0%,0%,3.75
"Khessina, Olga",BADM 312,150,69%,31%,0%,0%,0%,1%,3.67
"Khessina, Olga",BADM 509,46,59%,41%,0%,0%,0%,0%,3.59
"Kim, Hyunsun",BADM 313,21,52%,33%,10%,0%,5%,0%,3.27
"Jang, Daisung",BADM 314,154,38%,57%,3%,1%,1%,0%,3.29
"Wolters, Mark E",BADM 320,6002,88%,11%,1%,0%,0%,0%,3.84
"Wolters, Mark E",BADM 420,380,94%,4%,1%,0%,0%,0%,3.93
"Wolters, Mark E",BADM 327,95,96%,3%,0%,0%,0%,1%,3.97
"Barnes, Aaron J",BADM 322,39,92%,5%,3%,0%,0%,0%,3.86
"Zhuang, Mengzhou",BADM 322,40,85%,15%,0%,0%,0%,0%,3.73
"White, Tiffany B",BADM 323,378,81%,17%,2%,0%,0%,0%,3.64
"White, Tiffany B",BADM 528,99,93%,7%,0%,0%,0%,0%,3.77
"White, Tiffany B",BADM 590,23,83%,17%,0%,0%,0%,0%,3.67
"Koo, Minkyung",BADM 325,587,88%,11%,1%,0%,0%,0%,3.82
"Koo, Minkyung",BADM 382,244,81%,18%,0%,1%,0%,0%,3.72
"Koo, Minkyung",BADM 323,29,93%,7%,0%,0%,0%,0%,3.93
"Nezami, Mehdi",BADM 327,109,66%,32%,1%,1%,0%,0%,3.75
"Mehta, Ravi P",BADM 329,460,76%,22%,2%,0%,0%,0%,3.64
"Mehta, Ravi P",BADM 365,125,94%,6%,0%,0%,0%,0%,3.83
"Mehta, Ravi P",BADM 525,228,76%,22%,1%,0%,0%,0%,3.67
"Scott, Nehemiah",BADM 335,166,45%,51%,4%,1%,0%,0%,3.39
"Scott, Nehemiah",BADM 378,199,40%,44%,11%,4%,1%,2%,3.19
"Scott, Nehemiah",BADM 566,67,52%,42%,6%,0%,0%,0%,3.43
"Scott, Nehemiah",BADM 375,304,37%,43%,14%,4%,2%,0%,3.08
"Palekar, Udatta S",BADM 336,356,54%,43%,4%,0%,0%,0%,3.5
"Palekar, Udatta S",BADM 567,513,73%,19%,4%,1%,1%,1%,3.62
"Palekar, Udatta S",BADM 324,66,86%,14%,0%,0%,0%,0%,3.82
"Palekar, Udatta S",BADM 337,183,86%,13%,1%,0%,0%,0%,3.81
"Palekar, Udatta S",BADM 572,255,91%,8%,1%,0%,0%,0%,3.89
"Fricke, Michael R",BADM 340,337,81%,17%,1%,0%,1%,1%,3.75
"Fricke, Michael R",BADM 403,251,80%,16%,2%,1%,1%,0%,3.71
"Fricke, Michael R",BADM 300,1052,63%,27%,7%,2%,1%,0%,3.48
"Sachdev, Vishal",BADM 350,1311,50%,39%,8%,1%,1%,0%,3.33
"Sachdev, Vishal",BADM 554,196,42%,49%,9%,0%,0%,0%,3.32
"Sachdev, Vishal",BADM 395,42,81%,12%,7%,0%,0%,0%,3.68
"Sachdev, Vishal",BADM 352,482,30%,54%,13%,2%,0%,0%,3.09
"Nelson, Matthew L",BADM 350,321,87%,12%,1%,0%,0%,0%,3.85
"Nelson, Matthew L",BADM 590,150,92%,8%,0%,0%,0%,0%,3.91
"Nelson, Matthew L",BADM 556,276,92%,7%,1%,0%,0%,0%,3.89
"Larson, Eric",BADM 351,275,84%,14%,1%,0%,0%,0%,3.75
"Larson, Eric",BADM 562,78,90%,9%,1%,0%,0%,0%,3.85
"Larson, Eric",BADM 590,324,87%,12%,1%,0%,0%,0%,3.77
"Haran, Vidya",BADM 353,390,59%,41%,1%,0%,0%,0%,3.57
"Michael, Steven C",BADM 367,490,75%,25%,0%,0%,0%,0%,3.71
"Michael, Steven C",BADM 590,184,80%,18%,1%,1%,1%,0%,3.72
"Michael, Steven C",BADM 544,318,73%,25%,1%,0%,1%,0%,3.68
"Michael, Steven C",MBA 503,76,82%,17%,0%,0%,1%,0%,3.8
"Michael, Steven C",MBA 504,80,91%,9%,0%,0%,0%,0%,3.81
"Michael, Steven C",BADM 261,65,97%,3%,0%,0%,0%,0%,3.97
"Michael, Steven C",BADM 446,59,80%,7%,8%,0%,2%,3%,3.57
"Liang, Hongyan",BADM 374,55,76%,20%,2%,2%,0%,0%,3.66
"Liang, Hongyan",BADM 460,52,90%,10%,0%,0%,0%,0%,3.88
"Xu, Yuqian",BADM 375,161,56%,33%,8%,2%,0%,1%,3.39
"Taghaboni-Dutta, Fataneh",BADM 377,458,35%,57%,8%,0%,0%,0%,3.26
"Taghaboni-Dutta, Fataneh",BADM 572,693,75%,19%,4%,0%,1%,0%,3.65
"Taghaboni-Dutta, Fataneh",BADM 589,592,60%,35%,5%,0%,0%,0%,3.53
"Taghaboni-Dutta, Fataneh",MBA 505,170,78%,19%,3%,0%,0%,0%,3.7
"Taghaboni-Dutta, Fataneh",BADM 379,63,33%,57%,8%,2%,0%,0%,3.19
"Taghaboni-Dutta, Fataneh",BADM 460,151,56%,37%,7%,0%,0%,0%,3.47
"Taghaboni-Dutta, Fataneh",LER 590,34,59%,32%,9%,0%,0%,0%,3.4
"Martinez, Candace A",BADM 380,325,88%,11%,1%,0%,0%,0%,3.82
"Martinez, Candace A",BADM 381,33,94%,6%,0%,0%,0%,0%,3.94
"Martinez, Candace A",BADM 583,65,97%,3%,0%,0%,0%,0%,3.98
"Martinez, Candace A",BADM 586,37,95%,5%,0%,0%,0%,0%,3.95
"Martinez, Candace A",BADM 449,91,95%,5%,0%,0%,0%,0%,3.91
"Martinez, Candace A",BADM 446,37,86%,14%,0%,0%,0%,0%,3.76
"Jones, Danielle R",BADM 380,64,78%,20%,2%,0%,0%,0%,3.7
"Zhang, Nan",BADM 380,64,88%,11%,2%,0%,0%,0%,3.83
"Torelli, Carlos J",BADM 382,69,70%,28%,3%,0%,0%,0%,3.63
"Torelli, Carlos J",BADM 590,136,89%,11%,0%,0%,0%,0%,3.87
"Torelli, Carlos J",SBC 501,23,78%,22%,0%,0%,0%,0%,3.75
"Kim, Sung W",BADM 395,87,90%,10%,0%,0%,0%,0%,3.83
"Kim, Sung W",BADM 590,279,92%,8%,0%,0%,0%,0%,3.85
"Kim, Sung W",BADM 350,116,62%,37%,1%,0%,0%,0%,3.54
"Kurtz, Jeffrey M",BADM 445,412,84%,16%,0%,0%,0%,0%,3.83
"Kurtz, Jeffrey M",BADM 540,52,92%,4%,4%,0%,0%,0%,3.88
"Kurtz, Jeffrey M",BADM 550,53,81%,19%,0%,0%,0%,0%,3.72
"Kurtz, Jeffrey M",BADM 590,469,86%,14%,0%,0%,0%,0%,3.85
"Kurtz, Jeffrey M",ENG 465,76,84%,16%,0%,0%,0%,0%,3.85
"Zheng, Wen",BADM 449,82,50%,41%,7%,0%,1%,0%,3.37
"Schijven, Mario P",BADM 449,358,71%,26%,3%,0%,0%,0%,3.62
"Downs, Joshua A",BADM 449,40,55%,42%,2%,0%,0%,0%,3.48
"Kelley, Samuel R",BADM 449,115,50%,50%,1%,0%,0%,0%,3.48
"Kelley, Samuel R",MBA 503,48,71%,29%,0%,0%,0%,0%,3.71
"Kelley, Samuel R",BADM 446,34,94%,6%,0%,0%,0%,0%,3.94
"Kim, June-Young",BADM 449,365,59%,34%,6%,1%,0%,0%,3.49
"Kim, June-Young",BADM 590,25,84%,16%,0%,0%,0%,0%,3.83
"Chattopadhyay, Shinjinee",BADM 449,312,63%,29%,7%,0%,0%,0%,3.54
"Chattopadhyay, Shinjinee",BADM 446,65,68%,23%,9%,0%,0%,0%,3.55
"Chattopadhyay, Shinjinee",FIN 425,21,67%,33%,0%,0%,0%,0%,3.6
"Chattopadhyay, Shinjinee",FIN 580,34,53%,47%,0%,0%,0%,0%,3.54
"Yoo, Jae Kyun",BADM 449,80,89%,11%,0%,0%,0%,0%,3.84
"Mahoney, Joseph T",BADM 449,231,62%,33%,3%,1%,0%,0%,3.55
"Mahoney, Joseph T",BADM 544,262,75%,24%,1%,0%,0%,0%,3.67
"Mahoney, Joseph T",BADM 590,109,72%,28%,0%,0%,0%,0%,3.66
"Han, Wencui",BADM 453,200,92%,7%,0%,0%,0%,0%,3.87
"Han, Wencui",BADM 557,101,98%,2%,0%,0%,0%,0%,3.96
"Kraatz, Matthew S",BADM 508,91,75%,25%,0%,0%,0%,0%,3.69
"Kraatz, Matthew S",BADM 313,55,47%,45%,7%,0%,0%,0%,3.38
"Kraatz, Matthew S",MBA 502,634,54%,46%,0%,0%,0%,0%,3.52
"Kraatz, Matthew S",BADM 590,88,73%,27%,0%,0%,0%,0%,3.7
"Kraatz, Matthew S",BADM 310,28,50%,50%,0%,0%,0%,0%,3.46
"Kraatz, Matthew S",BADM 509,27,67%,33%,0%,0%,0%,0%,3.64
"Love, E G",BADM 514,811,69%,30%,1%,0%,0%,0%,3.65
"Love, E G",BADM 310,5860,53%,34%,10%,2%,0%,0%,3.34
"Noel, Hayden N",BADM 520,702,90%,9%,0%,0%,1%,0%,3.84
"Noel, Hayden N",MBA 501,720,60%,40%,0%,0%,0%,0%,3.58
"Noel, Hayden N",MBA 502,680,81%,19%,0%,0%,0%,0%,3.75
"Noel, Hayden N",BADM 322,31,90%,10%,0%,0%,0%,0%,3.78
"Noel, Hayden N",BADM 525,106,83%,17%,0%,0%,0%,0%,3.75
"Noel, Hayden N",BADM 595,34,82%,18%,0%,0%,0%,0%,3.76
"Viswanathan, Madhubalan",BADM 532,90,93%,7%,0%,0%,0%,0%,3.93
"Viswanathan, Madhubalan",BADM 590,138,83%,13%,3%,1%,0%,0%,3.71
"Viswanathan, Madhubalan",GCL 210,21,52%,33%,5%,10%,0%,0%,3.16
"Viswanathan, Madhubalan",ENG 198,26,96%,4%,0%,0%,0%,0%,3.91
"Viswanathan, Madhubalan",MBA 505,66,91%,9%,0%,0%,0%,0%,3.75
"Chhajed, Dilip",BADM 567,1276,57%,42%,1%,0%,0%,0%,3.52
"Chhajed, Dilip",BIOE 573,27,30%,56%,15%,0%,0%,0%,3.23
"Chhajed, Dilip",BADM 590,538,91%,8%,0%,0%,0%,0%,3.88
"Chhajed, Dilip",BADM 375,24,75%,21%,4%,0%,0%,0%,3.71
"Anand, Gopesh J",BADM 567,791,61%,36%,3%,0%,0%,0%,3.55
"Anand, Gopesh J",MBA 502,804,47%,49%,4%,0%,0%,0%,3.41
"Anand, Gopesh J",BADM 379,164,38%,49%,10%,1%,0%,1%,3.25
"Anand, Gopesh J",BADM 573,32,50%,47%,3%,0%,0%,0%,3.47
"Anand, Gopesh J",BADM 590,22,50%,50%,0%,0%,0%,0%,3.46
"Kwon, Hyok-Jon D",BADM 572,115,71%,25%,3%,0%,1%,0%,3.58
"Kwon, Hyok-Jon D",MBA 501,796,50%,49%,1%,0%,0%,0%,3.46
"Kwon, Hyok-Jon D",BADM 573,291,49%,47%,3%,1%,0%,0%,3.43
"Kwon, Hyok-Jon D",BADM 574,631,56%,43%,1%,0%,0%,0%,3.51
"Girndt-Clougher, Tina",BADM 586,286,93%,7%,0%,0%,0%,0%,3.9
"Girndt-Clougher, Tina",BADM 380,237,93%,7%,0%,0%,0%,0%,3.89
"Rindfleisch, Aric P",BADM 590,374,70%,26%,2%,1%,0%,0%,3.62
"Rindfleisch, Aric P",BADM 395,84,57%,42%,1%,0%,0%,0%,3.48
"Rindfleisch, Aric P",BADM 520,61,64%,34%,2%,0%,0%,0%,3.56
"Murphy, Patrick J",BADM 590,239,89%,10%,0%,0%,0%,0%,3.84
